,p,beta,lamb,acc_mean,acc_std,nmi_mean,nmi_std
42,3,0.0001,0.1,0.60375,0.027866871012009953,0.01680578580223367,0.01680578580223367
43,3,0.0001,0.2,0.6341249999999998,0.02399576785601994,0.01565862433065381,0.01565862433065381
44,3,0.0001,0.3,0.6421250000000001,0.017558384749173272,0.0097294107333508,0.0097294107333508
45,3,0.0001,0.4,0.649,0.007558108228915497,0.006069193589749492,0.006069193589749492
46,3,0.0001,0.5,0.6483749999999999,0.006674344537106244,0.005348296383866558,0.005348296383866558
47,3,0.0001,0.6,0.64375,0.010046765648705061,0.0060579562938167285,0.0060579562938167285
48,3,0.0003,0.1,0.594,0.008154753215150048,0.010270615387665943,0.010270615387665943
49,3,0.0003,0.2,0.604125,0.009977318026403703,0.008559443576928902,0.008559443576928902
50,3,0.0003,0.3,0.6008749999999999,0.00763523902703772,0.008043364253618455,0.008043364253618455
51,3,0.0003,0.4,0.60375,0.010231690964840561,0.009511145790595931,0.009511145790595931
52,3,0.0003,0.5,0.608125,0.01485082068439318,0.015915511846281535,0.015915511846281535
53,3,0.0003,0.6,0.62,0.016317168872080717,0.012664389563690448,0.012664389563690448
54,3,0.0007,0.1,0.589875,0.008784752415407063,0.010375874003954011,0.010375874003954011
55,3,0.0007,0.2,0.5891250000000001,0.010316097857232644,0.010508720627746793,0.010508720627746793
56,3,0.0007,0.3,0.603,0.010446291207888094,0.012253431825254325,0.012253431825254325
57,3,0.0007,0.4,0.6116250000000001,0.012431688340688082,0.008620846090144277,0.008620846090144277
58,3,0.0007,0.5,0.611875,0.009181332964226926,0.006880238210181111,0.006880238210181111
59,3,0.0007,0.6,0.6130000000000001,0.01574404649383379,0.009418003626801843,0.009418003626801843
60,4,1e-05,0.1,0.6322499999999999,0.015018738295875599,0.007796366421067573,0.007796366421067573
61,4,1e-05,0.2,0.6432499999999999,0.007709571972554644,0.009010026634988075,0.009010026634988075
62,4,1e-05,0.3,0.6387500000000002,0.009337424698491548,0.008928373344669588,0.008928373344669588
63,4,1e-05,0.4,0.6287500000000001,0.012260199835239221,0.006236284788124706,0.006236284788124706
64,4,1e-05,0.5,0.6207499999999999,0.007031180555212596,0.007712544186487446,0.007712544186487446
65,4,1e-05,0.6,0.6261250000000002,0.012411562149866542,0.004281886365315921,0.004281886365315921
66,4,2e-05,0.1,0.6335,0.00926687649642532,0.005488733844018938,0.005488733844018938
67,4,2e-05,0.2,0.647125,0.010132713111501783,0.008365052988444324,0.008365052988444324
68,4,2e-05,0.3,0.6415,0.012559856687080475,0.011018686656717737,0.011018686656717737
69,4,2e-05,0.4,0.6275000000000001,0.013919410907075054,0.005627322060490724,0.005627322060490724
70,4,2e-05,0.5,0.6252500000000001,0.00954921462739213,0.006252888309263779,0.006252888309263779
71,4,2e-05,0.6,0.6250000000000001,0.015491933384829655,0.0037729190105628774,0.0037729190105628774
72,4,3e-05,0.1,0.631625,0.009945947667266303,0.006805654827567522,0.006805654827567522
73,4,3e-05,0.2,0.6405,0.006051859218455098,0.012621685000219937,0.012621685000219937
74,4,3e-05,0.3,0.6399999999999999,0.01360147050873546,0.008994558875030397,0.008994558875030397
75,4,3e-05,0.4,0.6322500000000001,0.009249999999999996,0.005960588835019156,0.005960588835019156
76,4,3e-05,0.5,0.628875,0.013145222516184326,0.005338311637126865,0.005338311637126865
77,4,3e-05,0.6,0.6211249999999999,0.011221491656638154,0.004791697544681453,0.004791697544681453
78,4,4e-05,0.1,0.6295,0.007314369419163876,0.012090660504276797,0.012090660504276797
79,4,4e-05,0.2,0.642,0.00823862852664204,0.010250516966388167,0.010250516966388167
80,4,4e-05,0.3,0.6379999999999999,0.006919176251549032,0.00824028890119432,0.00824028890119432
81,4,4e-05,0.4,0.625875,0.009914478049801704,0.005969866484537542,0.005969866484537542
82,4,4e-05,0.5,0.62425,0.012651580928879982,0.006423094636267063,0.006423094636267063
83,4,4e-05,0.6,0.6282500000000001,0.011098986440211546,0.004190618283605426,0.004190618283605426
84,4,5e-05,0.1,0.6302499999999999,0.011882234638316143,0.015392625769373868,0.015392625769373868
85,4,5e-05,0.2,0.641125,0.0057268555944776645,0.015630956828991825,0.015630956828991825
86,4,5e-05,0.3,0.6376250000000001,0.011387355926640742,0.010067242499753274,0.010067242499753274
