,lamda,beta,p,acc_inG,nmi_inG,acc_inL,nmi_inL,acc_coI,nmi_coI,acc_sy_C,nmi_sy_C,acc_hyT,nmi_hyT
104,10,100,9,0.6,0.657621446,0.581818182,0.634664369,0.624242424,0.65318027,0.557575758,0.646292725,0.593939394,0.675146449
28,0.5,0.1,6,0.587878788,0.646546254,0.575757576,0.645584812,0.624242424,0.653686459,0.618181818,0.660135558,0.618181818,0.659198244
3,0.1,5,3,0.587878788,0.64152555,0.56969697,0.64506076,0.624242424,0.666994395,0.587878788,0.67280883,0.63030303,0.679145376
98,10,0.1,9,0.563636364,0.62786885,0.593939394,0.646102165,0.624242424,0.660937555,0.575757576,0.645990567,0.6,0.647375346
26,0.5,50,3,0.612121212,0.678564308,0.63030303,0.675973628,0.618181818,0.658129493,0.56969697,0.652174884,0.575757576,0.64231015
42,1,0.1,3,0.606060606,0.664970527,0.618181818,0.662461615,0.618181818,0.666193131,0.612121212,0.653019958,0.624242424,0.687690819
2,0.1,1,3,0.618181818,0.658741054,0.618181818,0.672982616,0.612121212,0.666842715,0.606060606,0.661803221,0.575757576,0.672589735
94,10,5,6,0.593939394,0.647868043,0.606060606,0.648343142,0.612121212,0.66235848,0.557575758,0.617451787,0.575757576,0.656416181
43,1,0.5,3,0.593939394,0.650605044,0.6,0.666306698,0.612121212,0.66796077,0.606060606,0.655721756,0.606060606,0.663787808
62,1,100,9,0.587878788,0.645562192,0.618181818,0.659549668,0.612121212,0.653854921,0.581818182,0.662150991,0.545454545,0.627010376
35,0.5,0.1,9,0.56969697,0.660491256,0.593939394,0.648416302,0.612121212,0.644497973,0.587878788,0.663059207,0.587878788,0.659304977
96,10,50,6,0.557575758,0.654933612,0.593939394,0.673309958,0.612121212,0.675396637,0.587878788,0.659204596,0.587878788,0.624475731
91,10,0.1,6,0.606060606,0.642705493,0.606060606,0.642757408,0.606060606,0.645138029,0.563636364,0.630325727,0.593939394,0.664600203
10,0.1,5,6,0.6,0.658695282,0.606060606,0.658565199,0.606060606,0.660391518,0.593939394,0.673466798,0.63030303,0.673572865
36,0.5,0.5,9,0.6,0.662852189,0.6,0.657650491,0.606060606,0.660328324,0.606060606,0.67700965,0.624242424,0.668953849
78,5,0.5,9,0.593939394,0.657485808,0.63030303,0.676473265,0.606060606,0.65453177,0.56969697,0.659579138,0.575757576,0.65910778
11,0.1,10,6,0.593939394,0.655592018,0.593939394,0.658809088,0.606060606,0.650579497,0.612121212,0.67596727,0.624242424,0.674179687
74,5,10,6,0.593939394,0.669273424,0.575757576,0.657344657,0.606060606,0.675918994,0.618181818,0.65107703,0.593939394,0.633963371
50,1,0.5,6,0.587878788,0.644303849,0.575757576,0.644869531,0.606060606,0.635690363,0.636363636,0.658100039,0.606060606,0.662366881
101,10,5,9,0.563636364,0.621725974,0.612121212,0.657068577,0.606060606,0.653368814,0.593939394,0.661242306,0.551515152,0.639884144
77,5,0.1,9,0.563636364,0.655849038,0.557575758,0.65591815,0.606060606,0.661662094,0.612121212,0.655303612,0.557575758,0.630091467
95,10,10,6,0.563636364,0.648766772,0.557575758,0.637550689,0.606060606,0.633493696,0.636363636,0.679986227,0.593939394,0.656131873
93,10,1,6,0.551515152,0.646149875,0.6,0.640895518,0.606060606,0.642488482,0.606060606,0.655613411,0.575757576,0.655978905
38,0.5,5,9,0.63030303,0.674255982,0.587878788,0.65009841,0.6,0.653737814,0.624242424,0.673549681,0.612121212,0.659745299
6,0.1,100,3,0.612121212,0.666232352,0.6,0.65799679,0.6,0.668536226,0.618181818,0.688977332,0.581818182,0.654865765
23,0.5,1,3,0.6,0.656082182,0.581818182,0.666572195,0.6,0.655498386,0.636363636,0.654551594,0.63030303,0.667527032
56,1,0.1,9,0.6,0.643240567,0.515151515,0.60560066,0.6,0.659749931,0.587878788,0.642799675,0.606060606,0.659619072
44,1,1,3,0.593939394,0.679261794,0.6,0.648930746,0.6,0.655504064,0.63030303,0.657498484,0.575757576,0.626615955
69,5,100,3,0.581818182,0.645746123,0.63030303,0.670618773,0.6,0.662287033,0.593939394,0.644557157,0.606060606,0.675519182
32,0.5,10,6,0.581818182,0.654305269,0.618181818,0.66613359,0.6,0.658963376,0.581818182,0.65911862,0.6,0.657571558
65,5,1,3,0.581818182,0.648621096,0.563636364,0.626626259,0.6,0.64045477,0.606060606,0.643484863,0.6,0.646807368
40,0.5,50,9,0.575757576,0.648278771,0.63030303,0.664567488,0.6,0.660782465,0.612121212,0.668067034,0.612121212,0.65968536
37,0.5,1,9,0.575757576,0.637850024,0.587878788,0.66494634,0.6,0.653853687,0.618181818,0.656266765,0.593939394,0.65899144
68,5,50,3,0.575757576,0.657419301,0.551515152,0.664423569,0.6,0.646066739,0.557575758,0.627738554,0.624242424,0.659556966
79,5,1,9,0.624242424,0.659340135,0.612121212,0.665039005,0.593939394,0.677939259,0.606060606,0.650879157,0.6,0.647956295
72,5,1,6,0.624242424,0.670349008,0.557575758,0.638894392,0.593939394,0.65413265,0.6,0.672418016,0.612121212,0.65926785
52,1,5,6,0.606060606,0.641240123,0.618181818,0.656557163,0.593939394,0.660146155,0.618181818,0.665790463,0.618181818,0.672505855
17,0.1,5,9,0.606060606,0.654051876,0.606060606,0.663419851,0.593939394,0.654787812,0.624242424,0.685042518,0.612121212,0.654371758
71,5,0.5,6,0.606060606,0.651638882,0.581818182,0.671037865,0.593939394,0.6349589,0.551515152,0.651995206,0.575757576,0.662651907
8,0.1,0.5,6,0.606060606,0.659802613,0.563636364,0.63355107,0.593939394,0.647388225,0.6,0.658192844,0.593939394,0.673749391
4,0.1,10,3,0.606060606,0.658790786,0.539393939,0.632218688,0.593939394,0.664927364,0.624242424,0.691656272,0.593939394,0.637003731
49,1,0.1,6,0.6,0.666823998,0.581818182,0.676936892,0.593939394,0.662518114,0.581818182,0.660926251,0.606060606,0.692707942
16,0.1,1,9,0.593939394,0.653009937,0.6,0.650966342,0.593939394,0.655888958,0.581818182,0.666237172,0.6,0.652700543
73,5,5,6,0.593939394,0.660149963,0.575757576,0.662562953,0.593939394,0.688665104,0.612121212,0.674277495,0.575757576,0.647274933
100,10,1,9,0.575757576,0.655983811,0.545454545,0.623334624,0.593939394,0.671663082,0.606060606,0.658175794,0.654545455,0.684044929
59,1,5,9,0.636363636,0.666243783,0.593939394,0.665853674,0.587878788,0.663577753,0.575757576,0.6410966,0.563636364,0.638517429
88,10,10,3,0.624242424,0.665749656,0.606060606,0.665675556,0.587878788,0.651736286,0.545454545,0.639238445,0.56969697,0.660689731
9,0.1,1,6,0.612121212,0.673820018,0.618181818,0.670374447,0.587878788,0.645962554,0.581818182,0.670796825,0.581818182,0.629627871
22,0.5,0.5,3,0.612121212,0.664902068,0.618181818,0.665135429,0.587878788,0.655759776,0.551515152,0.633975531,0.575757576,0.635147898
31,0.5,5,6,0.612121212,0.67854553,0.606060606,0.651638913,0.587878788,0.654541196,0.618181818,0.657895073,0.612121212,0.651971321
57,1,0.5,9,0.593939394,0.656255126,0.587878788,0.642116652,0.587878788,0.647722487,0.6,0.657697661,0.648484848,0.679427667
