,lamda,beta,p,acc_coI,nmi_coI
39,1.0,5.0,3,0.41391304347826086,0.6568559644061545
40,1.0,10.0,3,0.45565217391304347,0.6929209271916686
41,1.0,50.0,3,0.4573913043478261,0.6960168443201529
42,1.0,0.1,6,0.47304347826086957,0.7224608296395281
43,1.0,0.5,6,0.52,0.7301392948298862
44,1.0,1.0,6,0.528695652173913,0.7162034827936176
45,1.0,5.0,6,0.4973913043478261,0.7118191277209222
46,1.0,10.0,6,0.4765217391304348,0.7146939085982013
47,1.0,50.0,6,0.5008695652173913,0.7115543781638627
48,1.0,0.1,9,0.47304347826086957,0.7069843889731259
49,1.0,0.5,9,0.46260869565217394,0.6844290961025871
50,1.0,1.0,9,0.46956521739130436,0.688023223972169
51,1.0,5.0,9,0.4747826086956522,0.7055080246137526
52,1.0,10.0,9,0.43478260869565216,0.6768133205930583
53,1.0,50.0,9,0.44173913043478263,0.6734330431524757
54,5.0,0.1,3,0.4852173913043478,0.7504430644269057
55,5.0,0.5,3,0.4765217391304348,0.7206731683875054
56,5.0,1.0,3,0.5234782608695652,0.735385631416793
57,5.0,5.0,3,0.5147826086956522,0.741299042162472
58,5.0,10.0,3,0.49043478260869566,0.7260260887113145
59,5.0,50.0,3,0.5182608695652174,0.7497863013837698
60,5.0,0.1,6,0.44521739130434784,0.71370948884802
61,5.0,0.5,6,0.4973913043478261,0.7254026329242045
62,5.0,1.0,6,0.48869565217391303,0.7341291805871696
63,5.0,5.0,6,0.46608695652173915,0.7075354259098725
64,5.0,10.0,6,0.4469565217391304,0.7226624403687425
65,5.0,50.0,6,0.48869565217391303,0.7271567099692361
66,5.0,0.1,9,0.44521739130434784,0.6790821202579282
67,5.0,0.5,9,0.42086956521739133,0.6899799640151203
68,5.0,1.0,9,0.4434782608695652,0.7028330928988339
69,5.0,5.0,9,0.4330434782608696,0.6885700986146497
70,5.0,10.0,9,0.43826086956521737,0.6880544730491371
71,5.0,50.0,9,0.43826086956521737,0.6598816969667837
