,lamda,beta,p,acc_sy_C,nmi_sy_C
101,50.0,50.0,6,0.5633802816901409,0.5580951517243292
102,50.0,0.1,9,0.5070422535211268,0.48894965910183474
103,50.0,0.5,9,0.47417840375586856,0.47999488377567245
104,50.0,1.0,9,0.4694835680751174,0.4571077666806442
105,50.0,5.0,9,0.48826291079812206,0.4841207298411294
106,50.0,10.0,9,0.43661971830985913,0.456401609760608
107,50.0,50.0,9,0.4460093896713615,0.4660038096657646
108,100.0,0.1,3,0.27699530516431925,0.2197886412801442
109,100.0,0.5,3,0.3333333333333333,0.2884330639255272
110,100.0,1.0,3,0.27230046948356806,0.25117909666131594
111,100.0,5.0,3,0.28169014084507044,0.24778603672310828
112,100.0,10.0,3,0.3004694835680751,0.23024593886669148
113,100.0,50.0,3,0.2863849765258216,0.24880413514976446
114,100.0,0.1,6,0.30985915492957744,0.26213401943829595
115,100.0,0.5,6,0.3286384976525822,0.26801954271850087
116,100.0,1.0,6,0.323943661971831,0.26481962656687263
117,100.0,5.0,6,0.352112676056338,0.29008008794098744
118,100.0,10.0,6,0.2863849765258216,0.2320790245172978
119,100.0,50.0,6,0.3004694835680751,0.24049121897706935
120,100.0,0.1,9,0.3051643192488263,0.26256102909184725
121,100.0,0.5,9,0.29107981220657275,0.2582441529928174
122,100.0,1.0,9,0.36619718309859156,0.3026946610606267
123,100.0,5.0,9,0.3474178403755869,0.2825343986832275
124,100.0,10.0,9,0.3051643192488263,0.2648265433586332
125,100.0,50.0,9,0.30985915492957744,0.2438571863878982
