,lamda,beta,p,acc_hyT,nmi_hyT
45,1.0,5.0,6,0.2638888888888889,0.3218412867865605
46,1.0,10.0,6,0.2361111111111111,0.30402367959624726
47,1.0,50.0,6,0.16111111111111112,0.1843900539665066
48,1.0,0.1,9,0.41388888888888886,0.5996634609516991
49,1.0,0.5,9,0.4,0.5331737848591759
50,1.0,1.0,9,0.3416666666666667,0.4341874161634543
51,1.0,5.0,9,0.24722222222222223,0.31791795577705223
52,1.0,10.0,9,0.21666666666666667,0.2948325938692121
53,1.0,50.0,9,0.16111111111111112,0.1946881728383028
54,5.0,0.1,3,0.41388888888888886,0.6333449052342139
55,5.0,0.5,3,0.3638888888888889,0.5165338414695004
56,5.0,1.0,3,0.3111111111111111,0.41946024539263926
57,5.0,5.0,3,0.24166666666666667,0.33751798602977495
58,5.0,10.0,3,0.24166666666666667,0.30538902499413784
59,5.0,50.0,3,0.1638888888888889,0.1988521098485501
60,5.0,0.1,6,0.4444444444444444,0.6512163130890911
61,5.0,0.5,6,0.46111111111111114,0.6294911620476377
62,5.0,1.0,6,0.39166666666666666,0.5377183271232414
63,5.0,5.0,6,0.2916666666666667,0.3741366679541661
64,5.0,10.0,6,0.2722222222222222,0.35568965644115647
65,5.0,50.0,6,0.2,0.2670277854487335
66,5.0,0.1,9,0.46944444444444444,0.6158511177659632
67,5.0,0.5,9,0.4527777777777778,0.6044001378666136
68,5.0,1.0,9,0.43333333333333335,0.5909569140909149
69,5.0,5.0,9,0.375,0.4844528491646926
70,5.0,10.0,9,0.3111111111111111,0.4060737289476203
71,5.0,50.0,9,0.2222222222222222,0.29846757136933594
72,10.0,0.1,3,0.4222222222222222,0.6264147456429859
73,10.0,0.5,3,0.4638888888888889,0.6012612376902421
74,10.0,1.0,3,0.34444444444444444,0.47199464287315857
75,10.0,5.0,3,0.30833333333333335,0.42894068532114377
76,10.0,10.0,3,0.2222222222222222,0.31314965557455254
77,10.0,50.0,3,0.20555555555555555,0.23620576403226543
78,10.0,0.1,6,0.4722222222222222,0.6478328102378305
79,10.0,0.5,6,0.45555555555555555,0.624077374576542
80,10.0,1.0,6,0.4666666666666667,0.6049545389891855
81,10.0,5.0,6,0.3416666666666667,0.4575454004313407
82,10.0,10.0,6,0.2361111111111111,0.3502664570650231
83,10.0,50.0,6,0.24166666666666667,0.3075697897587996
84,10.0,0.1,9,0.4583333333333333,0.6069520173924381
85,10.0,0.5,9,0.40555555555555556,0.5951102393631613
86,10.0,1.0,9,0.37777777777777777,0.5313958233725407
87,10.0,5.0,9,0.4222222222222222,0.5298696507198603
88,10.0,10.0,9,0.31666666666666665,0.3992899855810942
89,10.0,50.0,9,0.21666666666666667,0.30542821486277255
90,50.0,0.1,3,0.4444444444444444,0.636011526213478
91,50.0,0.5,3,0.4583333333333333,0.6330722796126225
92,50.0,1.0,3,0.40555555555555556,0.5546313998281462
93,50.0,5.0,3,0.28055555555555556,0.39133251016295156
94,50.0,10.0,3,0.25,0.40614405240966184
95,50.0,50.0,3,0.22777777777777777,0.33805651971273715
96,50.0,0.1,6,0.4444444444444444,0.6012116409137798
97,50.0,0.5,6,0.44722222222222224,0.6432577018302581
98,50.0,1.0,6,0.4361111111111111,0.6464270596243666
99,50.0,5.0,6,0.38055555555555554,0.5185031365681405
100,50.0,10.0,6,0.35833333333333334,0.516083202508719
101,50.0,50.0,6,0.25,0.38340742604283096
102,50.0,0.1,9,0.4444444444444444,0.5966020346453157
103,50.0,0.5,9,0.4722222222222222,0.603294299571421
104,50.0,1.0,9,0.4305555555555556,0.5814018389164385
105,50.0,5.0,9,0.43333333333333335,0.5705552659715687
106,50.0,10.0,9,0.40555555555555556,0.5251277323805562
107,50.0,50.0,9,0.26666666666666666,0.4038347797567368
108,100.0,0.1,3,0.41388888888888886,0.6181452864379856
109,100.0,0.5,3,0.39444444444444443,0.606410348113981
110,100.0,1.0,3,0.425,0.594608449679907
111,100.0,5.0,3,0.3527777777777778,0.4981941238565605
112,100.0,10.0,3,0.2916666666666667,0.3959743362700945
113,100.0,50.0,3,0.19722222222222222,0.31259443946089754
114,100.0,0.1,6,0.45555555555555555,0.6046350304689198
115,100.0,0.5,6,0.4722222222222222,0.6428744364483969
116,100.0,1.0,6,0.43333333333333335,0.6464111521499223
117,100.0,5.0,6,0.48055555555555557,0.6431324349204169
118,100.0,10.0,6,0.3888888888888889,0.5655251306873169
119,100.0,50.0,6,0.3194444444444444,0.452118671208185
120,100.0,0.1,9,0.44166666666666665,0.5925773181950819
121,100.0,0.5,9,0.45,0.5906303990044511
122,100.0,1.0,9,0.4222222222222222,0.5761570160942499
123,100.0,5.0,9,0.46944444444444444,0.6264074065954982
124,100.0,10.0,9,0.38055555555555554,0.5563401271262771
125,100.0,50.0,9,0.28888888888888886,0.42514825274598045
